[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:25:25

[MS Chromatogram]
m/z	1-1 83.00
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
4.057	9804	1.20
4.060	8867	1.08
4.063	7695	0.94
4.067	6577	0.80
4.070	5551	0.68
4.073	4504	0.55
4.077	3620	0.44
4.080	2981	0.36
4.083	2547	0.31
4.087	2291	0.28
4.090	2044	0.25
4.093	1860	0.23
4.097	1755	0.21
4.100	1659	0.20
4.103	1600	0.20
4.107	1558	0.19
4.110	1516	0.19
4.113	1489	0.18
4.117	1484	0.18
4.120	1497	0.18
4.123	1511	0.18
4.127	1541	0.19
4.130	1671	0.20
4.133	2032	0.25
4.137	2726	0.33
4.140	3853	0.47
4.143	5248	0.64
4.147	6785	0.83
4.150	8437	1.03
4.153	10367	1.27
4.157	12592	1.54
4.160	14880	1.82
4.163	16874	2.06
4.167	18466	2.26
4.170	19105	2.34
4.173	19326	2.36
4.177	19292	2.36
4.180	19060	2.33
4.183	18743	2.29
4.187	17786	2.17
4.190	16194	1.98
4.193	14417	1.76
4.197	11864	1.45
4.200	10162	1.24
4.203	8131	0.99
4.207	6660	0.81
4.210	4846	0.59
4.213	3530	0.43
4.217	2767	0.34
4.220	2413	0.30
4.223	2235	0.27
4.227	2258	0.28
4.230	2566	0.31
4.233	3259	0.40
4.237	4138	0.51
4.240	5084	0.62
4.243	6572	0.80
4.247	7481	0.91
4.250	9224	1.13
4.253	10353	1.27
4.257	10713	1.31
4.260	10827	1.32
4.263	10849	1.33
4.267	10774	1.32
4.270	10517	1.29
4.273	9874	1.21
4.277	8808	1.08
4.280	7626	0.93
4.283	7088	0.87
4.287	6869	0.84
4.290	6832	0.84
4.293	6895	0.84
4.297	6976	0.85
4.300	7036	0.86
4.303	7086	0.87
4.307	7181	0.88
4.310	7194	0.88
4.313	7052	0.86
4.317	6864	0.84
4.320	6539	0.80
4.323	5689	0.70
4.327	4564	0.56
4.330	3782	0.46
4.333	3042	0.37
4.337	2373	0.29
4.340	2005	0.25
4.343	1821	0.22
4.347	1734	0.21
4.350	1694	0.21
4.353	1680	0.21
4.357	1696	0.21
4.360	1733	0.21
4.363	1813	0.22
4.367	1930	0.24
4.370	2080	0.25
4.373	2330	0.28
4.377	2618	0.32
4.380	2951	0.36
4.383	3504	0.43
4.387	4339	0.53
4.390	5874	0.72
4.393	7529	0.92
4.397	11259	1.38
4.400	16468	2.01
4.403	23253	2.84
4.407	32042	3.92
4.410	43756	5.35
4.413	58555	7.16
4.417	75734	9.26
4.420	94079	11.50
4.423	112424	13.75
4.427	130085	15.91
4.430	144481	17.67
4.433	153381	18.76
4.437	157204	19.22
4.440	157197	19.22
4.443	150585	18.41
4.447	137013	16.75
4.450	119570	14.62
4.453	101517	12.41
4.457	84800	10.37
4.460	70340	8.60
4.463	58568	7.16
4.467	50142	6.13
4.470	46860	5.73
4.473	48683	5.95
4.477	55439	6.78
4.480	66054	8.08
4.483	79216	9.69
4.487	94139	11.51
4.490	110149	13.47
4.493	124903	15.27
4.497	138541	16.94
4.500	150352	18.38
4.503	156978	19.20
4.507	161278	19.72
4.510	163530	20.00
4.513	161317	19.73
4.517	155919	19.07
4.520	146823	17.95
4.523	136114	16.64
4.527	124805	15.26
4.530	112235	13.72
4.533	99186	12.13
4.537	86394	10.56
4.540	73362	8.97
4.543	60727	7.43
4.547	49884	6.10
4.550	40223	4.92
4.553	32053	3.92
4.557	25971	3.18
4.560	21478	2.63
4.563	17883	2.19
4.567	15431	1.89
4.570	13676	1.67
4.573	12149	1.49
4.577	10907	1.33
4.580	10391	1.27
4.583	9973	1.22
4.587	9361	1.14
4.590	8990	1.10
4.593	8923	1.09
4.597	9047	1.11
4.600	9240	1.13
4.603	9768	1.19
4.607	10736	1.31
4.610	12143	1.48
4.613	13849	1.69
4.617	15677	1.92
4.620	17874	2.19
4.623	19925	2.44
4.627	21858	2.67
4.630	23782	2.91
4.633	24946	3.05
4.637	26130	3.20
4.640	27664	3.38
4.643	28642	3.50
4.647	29060	3.55
4.650	29258	3.58
4.653	29239	3.58
4.657	29021	3.55
4.660	28379	3.47
4.663	26811	3.28
4.667	25064	3.06
4.670	23174	2.83
4.673	21096	2.58
4.677	18622	2.28
4.680	16208	1.98
4.683	14187	1.73
4.687	12232	1.50
4.690	10393	1.27
4.693	9155	1.12
4.697	8211	1.00
4.700	7092	0.87
4.703	6424	0.79
4.707	6176	0.76
4.710	6046	0.74
4.713	6028	0.74
4.717	6078	0.74
4.720	6232	0.76
4.723	6760	0.83
4.727	7513	0.92
4.730	8288	1.01
4.733	9570	1.17
4.737	10980	1.34
4.740	12352	1.51
4.743	14174	1.73
4.747	16225	1.98
4.750	18389	2.25
4.753	20337	2.49
4.757	22209	2.72
4.760	24260	2.97
4.763	26173	3.20
4.767	27133	3.32
4.770	27219	3.33
4.773	26746	3.27
4.777	25905	3.17
4.780	24300	2.97
4.783	22102	2.70
4.787	19605	2.40
4.790	17111	2.09
4.793	14770	1.81
4.797	12446	1.52
4.800	10349	1.27
4.803	8542	1.04
4.807	6825	0.83
4.810	5615	0.69
4.813	4252	0.52
4.817	3009	0.37
4.820	2169	0.27
4.823	1814	0.22
4.827	1599	0.20
4.830	1490	0.18
4.833	1432	0.18
4.837	1416	0.17
4.840	1431	0.17
4.843	1432	0.18
4.847	1443	0.18
4.850	1422	0.17
4.853	1370	0.17
4.857	1350	0.17
4.860	1343	0.16
4.863	1335	0.16
4.867	1318	0.16
4.870	1289	0.16
4.873	1278	0.16
4.877	1288	0.16
4.880	1305	0.16
4.883	1317	0.16
4.887	1340	0.16
4.890	1398	0.17
4.893	1479	0.18
4.897	1555	0.19
4.900	1724	0.21
4.903	2159	0.26
4.907	2883	0.35
4.910	3546	0.43
4.913	3839	0.47
4.917	4227	0.52
4.920	5085	0.62
4.923	5872	0.72
4.927	6657	0.81
4.930	7876	0.96
4.933	9426	1.15
4.937	10951	1.34
4.940	12519	1.53
4.943	14167	1.73
4.947	15548	1.90
4.950	16792	2.05
4.953	17267	2.11
4.957	17375	2.12
4.960	17403	2.13
4.963	17366	2.12
4.967	16907	2.07
4.970	15337	1.88
4.973	13825	1.69
4.977	12134	1.48
4.980	10684	1.31
4.983	9498	1.16
4.987	8223	1.01
4.990	7271	0.89
4.993	6351	0.78
4.997	5854	0.72
5.000	5604	0.69
5.003	5174	0.63
5.007	4575	0.56
5.010	4173	0.51
5.013	3696	0.45
5.017	2962	0.36
5.020	2262	0.28
5.023	1954	0.24
5.027	1874	0.23
5.030	1797	0.22
5.033	1740	0.21
5.037	1750	0.21
5.040	1770	0.22
5.043	1793	0.22
5.047	1892	0.23
5.050	2276	0.28
5.053	3059	0.37
5.057	4064	0.50
5.060	5594	0.68
5.063	7527	0.92
5.067	9721	1.19
5.070	12032	1.47
5.073	14230	1.74
5.077	16236	1.99
5.080	18202	2.23
5.083	20117	2.46
5.087	20294	2.48
5.090	20296	2.48
5.093	20146	2.46
5.097	18271	2.23
5.100	16208	1.98
5.103	14194	1.74
5.107	11967	1.46
5.110	9770	1.19
5.113	8074	0.99
5.117	6652	0.81
5.120	5455	0.67
5.123	4724	0.58
5.127	3879	0.47
5.130	3468	0.42
5.133	3267	0.40
5.137	3139	0.38
5.140	3106	0.38
5.143	3062	0.37
5.147	2996	0.37
5.150	2979	0.36
5.153	2976	0.36
5.157	3082	0.38
5.160	3303	0.40
5.163	3478	0.43
5.167	3676	0.45
5.170	4212	0.52
5.173	4842	0.59
5.177	5162	0.63
5.180	5311	0.65
5.183	5326	0.65
5.187	5243	0.64
5.190	5205	0.64
5.193	5209	0.64
5.197	5112	0.63
5.200	4752	0.58
5.203	3984	0.49
5.207	3411	0.42
5.210	2980	0.36
5.213	2280	0.28
5.217	1704	0.21
5.220	1457	0.18
5.223	1313	0.16
5.227	1250	0.15
5.230	1228	0.15
5.233	1207	0.15
5.237	1201	0.15
5.240	1215	0.15
5.243	1230	0.15
5.247	1239	0.15
5.250	1253	0.15
5.253	1279	0.16
5.257	1289	0.16
5.260	1275	0.16
5.263	1269	0.16
5.267	1263	0.15
5.270	1247	0.15
5.273	1241	0.15
5.277	1238	0.15
5.280	1223	0.15
5.283	1216	0.15
5.287	1212	0.15
5.290	1207	0.15
5.293	1210	0.15
5.297	1214	0.15
5.300	1218	0.15
5.303	1232	0.15
5.307	1251	0.15
5.310	1285	0.16
5.313	1324	0.16
5.317	1355	0.17
5.320	1382	0.17
5.323	1398	0.17
5.327	1432	0.18
5.330	1500	0.18
5.333	1550	0.19
5.337	1553	0.19
5.340	1520	0.19
5.343	1473	0.18
5.347	1448	0.18
5.350	1451	0.18
5.353	1456	0.18
5.357	1425	0.17
5.360	1372	0.17
5.363	1346	0.16
5.367	1344	0.16
5.370	1350	0.17
5.373	1361	0.17
5.377	1360	0.17
5.380	1340	0.16
5.383	1328	0.16
5.387	1341	0.16
5.390	1352	0.17
5.393	1350	0.17
5.397	1353	0.17
5.400	1369	0.17
5.403	1426	0.17
5.407	1571	0.19
5.410	2054	0.25
5.413	3927	0.48
5.417	5797	0.71
5.420	8052	0.98
5.423	11617	1.42
5.427	16262	1.99
5.430	21066	2.58
5.433	26176	3.20
5.437	31511	3.85
5.440	36601	4.48
5.443	40939	5.01
5.447	44129	5.40
5.450	45842	5.61
5.453	45806	5.60
5.457	44110	5.39
5.460	41021	5.02
5.463	36764	4.50
5.467	31551	3.86
5.470	26296	3.22
5.473	21391	2.62
5.477	16728	2.05
5.480	12857	1.57
5.483	10133	1.24
5.487	7864	0.96
5.490	5866	0.72
5.493	4745	0.58
5.497	3725	0.46
5.500	2807	0.34
5.503	2327	0.28
5.507	2058	0.25
5.510	1864	0.23
5.513	1771	0.22
5.517	1714	0.21
5.520	1660	0.20
5.523	1626	0.20
5.527	1601	0.20
5.530	1591	0.19
5.533	1576	0.19
5.537	1569	0.19
5.540	1612	0.20
5.543	1668	0.20
5.547	1696	0.21
5.550	1700	0.21
5.553	1711	0.21
5.557	1741	0.21
5.560	1784	0.22
5.563	1797	0.22
5.567	1758	0.21
5.570	1701	0.21
5.573	1668	0.20
5.577	1653	0.20
5.580	1613	0.20
5.583	1537	0.19
