[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:05:48

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
5.730	510747	3.21
5.733	540138	3.39
5.737	562836	3.54
5.740	575653	3.62
5.743	574179	3.61
5.747	557278	3.50
5.750	531224	3.34
5.753	495827	3.12
5.757	451337	2.84
5.760	406184	2.55
5.763	363962	2.29
5.767	326843	2.05
5.770	300930	1.89
5.773	292392	1.84
5.777	303950	1.91
5.780	338874	2.13
5.783	399596	2.51
5.787	487772	3.07
5.790	603909	3.80
5.793	747147	4.70
5.797	913338	5.74
5.800	1095266	6.88
5.803	1284021	8.07
5.807	1461099	9.18
5.810	1604789	10.09
5.813	1714451	10.78
5.817	1790038	11.25
5.820	1818041	11.43
5.823	1789608	11.25
5.827	1700418	10.69
5.830	1557009	9.79
5.833	1385600	8.71
5.837	1205547	7.58
5.840	1020383	6.41
5.843	838046	5.27
5.847	671912	4.22
5.850	530588	3.33
5.853	416306	2.62
5.857	329239	2.07
5.860	268694	1.69
5.863	228699	1.44
5.867	203698	1.28
5.870	191006	1.20
5.873	187065	1.18
5.877	186026	1.17
5.880	184736	1.16
5.883	183744	1.15
5.887	180432	1.13
5.890	174779	1.10
5.893	165966	1.04
5.897	153181	0.96
5.900	138712	0.87
5.903	126381	0.79
5.907	117602	0.74
5.910	111651	0.70
5.913	111648	0.70
5.917	118047	0.74
5.920	133551	0.84
5.923	157361	0.99
5.927	187576	1.18
5.930	224387	1.41
5.933	266988	1.68
5.937	313999	1.97
5.940	358183	2.25
5.943	392279	2.47
5.947	416956	2.62
5.950	431633	2.71
5.953	431731	2.71
5.957	420084	2.64
5.960	398378	2.50
5.963	365093	2.29
5.967	322264	2.03
5.970	278465	1.75
5.973	238254	1.50
5.977	203330	1.28
5.980	176362	1.11
5.983	158264	0.99
5.987	149448	0.94
5.990	149406	0.94
5.993	153076	0.96
5.997	159377	1.00
6.000	170182	1.07
6.003	180694	1.14
6.007	188922	1.19
6.010	195308	1.23
6.013	198724	1.25
6.017	198999	1.25
6.020	201457	1.27
6.023	202452	1.27
6.027	203254	1.28
6.030	210319	1.32
6.033	220706	1.39
6.037	230213	1.45
6.040	240707	1.51
6.043	254261	1.60
6.047	266728	1.68
6.050	274570	1.73
6.053	278436	1.75
6.057	276976	1.74
6.060	269951	1.70
6.063	259240	1.63
6.067	244805	1.54
6.070	227740	1.43
6.073	214547	1.35
6.077	205768	1.29
6.080	199339	1.25
6.083	199059	1.25
6.087	203251	1.28
6.090	210308	1.32
6.093	222236	1.40
6.097	240628	1.51
6.100	258764	1.63
6.103	274418	1.72
6.107	291823	1.83
6.110	307620	1.93
6.113	318564	2.00
6.117	325455	2.05
6.120	325467	2.05
6.123	319479	2.01
6.127	310228	1.95
6.130	296296	1.86
6.133	279788	1.76
6.137	266689	1.68
6.140	256951	1.61
6.143	245239	1.54
6.147	231594	1.46
6.150	218726	1.37
6.153	207410	1.30
6.157	195266	1.23
6.160	179631	1.13
6.163	161780	1.02
6.167	145712	0.92
6.170	132050	0.83
6.173	120139	0.76
