scanname 扫描020
timestamp 1/1/1970 01:16
scancount 1
laserwavenum 850.5
measurementstate Unknown
scanmode Identification
snr 17.5782 17.5782 17.5782
replacelist 0
peaks 10
1306.2 0.25618
1309.06 0.248809
1311.93 0.246462
1314.79 0.246079
1317.66 0.228964
1320.52 0.22723
1323.39 0.228785
1326.25 0.231525
1329.12 0.217737
1331.98 0.218084
1334.84 0.222592
1337.71 0.234225
1340.57 0.232446
1343.44 0.210792
1346.3 0.226327
1349.17 0.243725
1352.03 0.221158
1354.9 0.214855
1357.76 0.240487
1360.62 0.237933
1363.49 0.245405
1366.35 0.231635
1369.22 0.26387
1372.08 0.240972
1374.95 0.243197
1377.81 0.228188
1380.68 0.242247
1383.54 0.225698
1386.41 0.252491
1389.27 0.264103
1392.13 0.288671
1395 0.329836
1397.86 0.369296
1400.73 0.358429
1403.59 0.370726
1406.46 0.372759
1409.32 0.371634
1412.19 0.41335
1415.05 0.408324
1417.91 0.40095
1420.78 0.313481
1423.64 0.279629
1426.51 0.268793
1429.37 0.259089
1432.24 0.242449
1435.1 0.284632
1437.97 0.281696
1440.83 0.247025
1443.69 0.256788
1446.56 0.270797
1449.42 0.271748
1452.29 0.258575
1455.15 0.28966
1458.02 0.271649
1460.88 0.226523
1463.75 0.235301
1466.61 0.21238
1469.47 0.236986
1472.34 0.271934
1475.2 0.23719
1478.07 0.201492
1480.93 0.218915
1483.8 0.221727
1486.66 0.233104
1489.53 0.225728
1492.39 0.200289
1495.26 0.219692
1498.12 0.233498
1500.98 0.203228
1503.85 0.229471
1506.71 0.305569
1509.58 0.228153
1512.44 0.234321
1515.31 0.250065
1518.17 0.25196
1521.04 0.29254
1523.9 0.251338
1526.76 0.234491
1529.63 0.212943
1532.49 0.23496
1535.36 0.219867
1538.22 0.295774
1541.09 0.293595
1543.95 0.241564
1546.82 0.211436
1549.68 0.232882
1552.54 0.234093
1555.41 0.260868
1558.27 0.344155
1561.14 0.219098
1564 0.2038
1566.87 0.213982
1569.73 0.211689
1572.6 0.206769
1575.46 0.257915
1578.33 0.211139
1581.19 0.206841
1584.05 0.202871
1586.92 0.210825
1589.78 0.189109
1592.65 0.20818
1595.51 0.213339
1598.38 0.224709
1601.24 0.221958
1604.11 0.206395
1606.97 0.208345
1609.83 0.231449
1612.7 0.219139
1615.56 0.254789
1618.43 0.239245
1621.29 0.264677
1624.16 0.260125
1627.02 0.237711
1629.89 0.233286
1632.75 0.267547
1635.61 0.264729
1638.48 0.217685
1641.34 0.204027
1644.21 0.240678
1647.07 0.277343
1649.94 0.257172
1652.8 0.325183
1655.67 0.234951
1658.53 0.208634
1661.39 0.225829
1664.26 0.225185
1667.12 0.232981
1669.99 0.242282
1672.85 0.229384
1675.72 0.235126
1678.58 0.204425
1681.45 0.222106
1684.31 0.236033
1687.18 0.185196
1690.04 0.184963
1692.9 0.189615
1695.77 0.243237
1698.63 0.28218
1701.5 0.234426
1704.36 0.207906
1707.23 0.174842
1710.09 0.176579
1712.96 0.202326
1715.82 0.235974
1718.68 0.204951
1721.55 0.177515
1724.41 0.175933
1727.28 0.171417
1730.14 0.197918
1733.01 0.264501
1735.87 0.186832
1738.74 0.187163
1741.6 0.173603
1744.46 0.182978
1747.33 0.181751
1750.19 0.203496
1753.06 0.178374
1755.92 0.189887
1758.79 0.180046
1761.65 0.189049
1764.52 0.167714
1767.38 0.205615
1770.24 0.191696
1773.11 0.183303
1775.97 0.180683
1778.84 0.175905
1781.7 0.165873
1784.57 0.161725
1787.43 0.155013
1790.3 0.189303
1793.16 0.176858
1796.02 0.164206
1798.89 0.157367
1801.75 0.164925
1804.62 0.153882
1807.48 0.128828
1810.35 0.154786
1813.21 0.161212
1816.08 0.151741
1818.94 0.140603
1821.81 0.157864
1824.67 0.204461
1827.53 0.154802
1830.4 0.157698
1833.26 0.157973
1836.13 0.142985
1838.99 0.153777
1841.86 0.138896
1844.72 0.167435
1847.59 0.146233
1850.45 0.155118
1853.31 0.166121
1856.18 0.143454
1859.04 0.143267
1861.91 0.149762
1864.77 0.154538
1867.64 0.187035
1870.5 0.176103
1873.37 0.13738
1876.23 0.13637
1879.09 0.150898
1881.96 0.169046
1884.82 0.1516
1887.69 0.14804
1890.55 0.155638
1893.42 0.163778
1896.28 0.150779
1899.15 0.133275
1902.01 0.156065
1904.87 0.166017
1907.74 0.146242
1910.6 0.143763
1913.47 0.16966
1916.33 0.176798
1919.2 0.163171
1922.06 0.130453
1924.93 0.147674
1927.79 0.15947
1930.66 0.145637
1933.52 0.165797
1936.38 0.183903
1939.25 0.184791
1942.11 0.173143
1944.98 0.170574
1947.84 0.157415
1950.71 0.17355
1953.57 0.173845
1956.44 0.136147
1959.3 0.192273
1962.16 0.175449
1965.03 0.186462
1967.89 0.194996
1970.76 0.181082
1973.62 0.167149
1976.49 0.182099
1979.35 0.17941
1982.22 0.196869
1985.08 0.187074
1987.94 0.182601
1990.81 0.133538
1993.67 0.15544
1996.54 0.173739
1999.4 0.173631
2002.27 0.154482
2005.13 0.15981
2008 0.141544
2010.86 0.158312
2013.72 0.144447
2016.59 0.182081
2019.45 0.152221
2022.32 0.191663
2025.18 0.183647
2028.05 0.148427
2030.91 0.157347
2033.78 0.158082
2036.64 0.141874
2039.51 0.15427
2042.37 0.180421
2045.23 0.187022
2048.1 0.156264
2050.96 0.143562
2053.83 0.155539
2056.69 0.147056
2059.56 0.125903
2062.42 0.164541
2065.29 0.154355
2068.15 0.166879
2071.01 0.159448
2073.88 0.165314
2076.74 0.1325
2079.61 0.128774
2082.47 0.157827
2085.34 0.171453
2088.2 0.149808
2091.07 0.129822
2093.93 0.145958
2096.79 0.167489
2099.66 0.159102
2102.52 0.149354
2105.39 0.139937
2108.25 0.139983
2111.12 0.144172
2113.98 0.165773
2116.85 0.135409
2119.71 0.145383
2122.58 0.13825
2125.44 0.150039
2128.3 0.145105
2131.17 0.168
2134.03 0.170356
2136.9 0.132911
2139.76 0.154181
2142.63 0.148468
2145.49 0.146108
2148.36 0.154843
2151.22 0.148359
2154.08 0.17808
2156.95 0.140168
2159.81 0.147867
2162.68 0.155309
2165.54 0.193416
2168.41 0.143768
2171.27 0.152771
2174.14 0.179615
2177 0.172278
2179.86 0.165768
2182.73 0.2029
2185.59 0.207482
2188.46 0.173533
2191.32 0.136168
2194.19 0.15053
2197.05 0.135969
2199.92 0.183509
2202.78 0.194823
2205.64 0.151308
2208.51 0.172461
2211.37 0.152621
2214.24 0.144054
2217.1 0.151434
2219.97 0.16139
2222.83 0.134796
2225.7 0.175492
2228.56 0.153227
2231.43 0.16468
2234.29 0.140676
2237.15 0.13672
2240.02 0.157396
2242.88 0.142153
2245.75 0.192007
2248.61 0.153744
2251.48 0.127412
2254.34 0.159138
2257.21 0.133419
2260.07 0.141143
2262.93 0.156873
2265.8 0.141922
2268.66 0.168451
2271.53 0.140405
2274.39 0.172592
2277.26 0.154969
2280.12 0.142115
2282.99 0.162728
2285.85 0.163606
2288.71 0.141778
2291.58 0.15378
2294.44 0.143205
2297.31 0.138196
2300.17 0.14864
2303.04 0.127557
2305.9 0.125584
2308.77 0.130435
2311.63 0.162402
2314.49 0.135186
2317.36 0.129852
2320.22 0.149379
2323.09 0.171176
2325.95 0.151798
2328.82 0.156533
2331.68 0.15444
2334.55 0.153703
2337.41 0.155501
2340.28 0.167408
2343.14 0.129209
2346 0.129957
2348.87 0.135713
2351.73 0.145632
2354.6 0.139801
2357.46 0.143638
2360.33 0.178238
2363.19 0.165987
2366.06 0.160719
2368.92 0.158074
2371.78 0.152398
2374.65 0.129903
2377.51 0.125589
2380.38 0.133291
2383.24 0.122988
2386.11 0.118543
2388.97 0.113713
2391.84 0.140574
2394.7 0.130665
2397.56 0.105477
2400.43 0.123982
2403.29 0.148122
2406.16 0.120956
2409.02 0.0964217
2411.89 0.112431
2414.75 0.127509
2417.62 0.13861
2420.48 0.135656
2423.34 0.11643
2426.21 0.11498
2429.07 0.132421
2431.94 0.110237
2434.8 0.112504
2437.67 0.12355
2440.53 0.143205
2443.4 0.133766
2446.26 0.133752
2449.12 0.14242
2451.99 0.140832
2454.85 0.109292
2457.72 0.100809
2460.58 0.120162
2463.45 0.109674
2466.31 0.119109
2469.18 0.13582
2472.04 0.122367
2474.91 0.138969
2477.77 0.122687
2480.63 0.104491
2483.5 0.13072
2486.36 0.121102
2489.23 0.131227
2492.09 0.144982
2494.96 0.128046
2497.82 0.136495
2500.69 0.142412
2503.55 0.130726
2506.41 0.126435
2509.28 0.11975
2512.14 0.130163
2515.01 0.137733
2517.87 0.13817
2520.74 0.133233
2523.6 0.119235
2526.47 0.124184
2529.33 0.125532
2532.19 0.137453
2535.06 0.12401
2537.92 0.121723
2540.79 0.108043
2543.65 0.103084
2546.52 0.122764
2549.38 0.127
2552.25 0.138124
2555.11 0.122783
2557.98 0.122591
2560.84 0.120717
2563.7 0.126757
2566.57 0.118792
2569.43 0.118907
2572.3 0.126768
2575.16 0.115322
2578.03 0.121066
2580.89 0.108099
2583.76 0.142124
2586.62 0.114256
2589.48 0.124242
2592.35 0.124969
2595.21 0.128949
2598.08 0.0920265
2600.94 0.123343
2603.81 0.121047
2606.67 0.120919
2609.54 0.12454
2612.4 0.127651
2615.26 0.119781
2618.13 0.123098
2620.99 0.129077
2623.86 0.126393
2626.72 0.123764
2629.59 0.122373
2632.45 0.118834
2635.32 0.122712
2638.18 0.125713
2641.04 0.119504
2643.91 0.121523
2646.77 0.115935
2649.64 0.13512
2652.5 0.126927
2655.37 0.122294
2658.23 0.117749
2661.1 0.113199
2663.96 0.114542
2666.82 0.125553
2669.69 0.117738
2672.55 0.122763
2675.42 0.129112
2678.28 0.123085
2681.15 0.117844
2684.01 0.119869
2686.88 0.124113
2689.74 0.120946
2692.61 0.118893
2695.47 0.112385
2698.33 0.117838
2701.2 0.130264
2704.06 0.130934
2706.93 0.118878
2709.79 0.127201
2712.66 0.119934
2715.52 0.124417
2718.39 0.109452
2721.25 0.11176
2724.11 0.11259
2726.98 0.118094
2729.84 0.11622
2732.71 0.1193
2735.57 0.121072
2738.44 0.117215
2741.3 0.123327
2744.17 0.137009
2747.03 0.127481
2749.89 0.121107
2752.76 0.125038
2755.62 0.120949
2758.49 0.121816
2761.35 0.12601
2764.22 0.115842
2767.08 0.114737
2769.95 0.119032
2772.81 0.132799
2775.68 0.125849
2778.54 0.126882
2781.4 0.142254
2784.27 0.125704
2787.13 0.132704
2790 0.13426
2792.86 0.132498
2795.73 0.140768
2798.59 0.140869
2801.46 0.146877
2804.32 0.150858
2807.18 0.156452
2810.05 0.150311
2812.91 0.14889
2815.78 0.14498
2818.64 0.153476
2821.51 0.137381
2824.37 0.131598
2827.24 0.154569
2830.1 0.145791
2832.96 0.150766
2835.83 0.157186
2838.69 0.164371
2841.56 0.141706
2844.42 0.138978
2847.29 0.162556
2850.15 0.170151
2853.02 0.177325
2855.88 0.164148
2858.74 0.161952
2861.61 0.17444
2864.47 0.161004
2867.34 0.158783
2870.2 0.164855
2873.07 0.172843
2875.93 0.171933
2878.8 0.17282
2881.66 0.179384
2884.53 0.184207
2887.39 0.184815
2890.25 0.198392
2893.12 0.220205
2895.98 0.234948
2898.85 0.250975
2901.71 0.283463
2904.58 0.286024
2907.44 0.268585
2910.31 0.24623
2913.17 0.23743
2916.03 0.234455
2918.9 0.24527
2921.76 0.227084
2924.63 0.225446
2927.49 0.245013
2930.36 0.244535
2933.22 0.214444
2936.09 0.239964
2938.95 0.256411
2941.81 0.278606
2944.68 0.316799
2947.54 0.370683
2950.41 0.483282
2953.27 0.623999
2956.14 0.786791
2959 0.978066
2961.87 1.06134
2964.73 0.951038
2967.59 0.756454
2970.46 0.562959
2973.32 0.445171
2976.19 0.346618
2979.05 0.276868
2981.92 0.237627
2984.78 0.232264
2987.65 0.212861
2990.51 0.209309
2993.38 0.189749
2996.24 0.176659
2999.1 0.186768
3001.97 0.195141
3004.83 0.196041
3007.7 0.190738
3010.56 0.19967
3013.43 0.188558
3016.29 0.162339
3019.16 0.185808
3022.02 0.16153
3024.88 0.170868
3027.75 0.16277
3030.61 0.154876
3033.48 0.172988
3036.34 0.161126
3039.21 0.171082
3042.07 0.179059
3044.94 0.171614
3047.8 0.164813
3050.66 0.169689
3053.53 0.166136
3056.39 0.164336
3059.26 0.182715
3062.12 0.169987
3064.99 0.170081
3067.85 0.16073
3070.72 0.165119
3073.58 0.168316
3076.44 0.184085
3079.31 0.166215
3082.17 0.172743
3085.04 0.169961
3087.9 0.160457
3090.77 0.155133
3093.63 0.152598
3096.5 0.178112
3099.36 0.187871
3102.23 0.172047
3105.09 0.153515
3107.95 0.161665
3110.82 0.196819
3113.68 0.169435
3116.55 0.17155
3119.41 0.177126
3122.28 0.17947
3125.14 0.163865
3128.01 0.178698
3130.87 0.188766
3133.73 0.178036
3136.6 0.174797
3139.46 0.142175
3142.33 0.16667
3145.19 0.169417
3148.06 0.157304
3150.92 0.164233
3153.79 0.161688
3156.65 0.177896
3159.51 0.180176
3162.38 0.166486
3165.24 0.176078
3168.11 0.177281
3170.97 0.187422
3173.84 0.188109
3176.7 0.18594
3179.57 0.180507
3182.43 0.157803
3185.29 0.148187
3188.16 0.162454
3191.02 0.17726
3193.89 0.175177
3196.75 0.171729
3199.62 0.157006
3202.48 0.167746
3205.35 0.180119
3208.21 0.206859
3211.07 0.179513
3213.94 0.179554
3216.8 0.177598
3219.67 0.1598
3222.53 0.216682
3225.4 0.188231
3228.26 0.177478
3231.13 0.17688
3233.99 0.188506
3236.86 0.166611
3239.72 0.161863
3242.58 0.169829
3245.45 0.19616
3248.31 0.197591
3251.18 0.193146
3254.04 0.170309
3256.91 0.205271
3259.77 0.185778
3262.64 0.193564
3265.5 0.198846
3268.36 0.191128
3271.23 0.205032
3274.09 0.196813
3276.96 0.18801
3279.82 0.193349
3282.69 0.178488
3285.55 0.177916
3288.42 0.174267
3291.28 0.196909
3294.14 0.189793
3297.01 0.173013
3299.87 0.180325
3302.74 0.205334
3305.6 0.179102
3308.47 0.217543
3311.33 0.194064
3314.2 0.199719
3317.06 0.176619
3319.93 0.162827
3322.79 0.18499
3325.65 0.186136
3328.52 0.19449
3331.38 0.180109
3334.25 0.187811
3337.11 0.200274
3339.98 0.183191
3342.84 0.171
3345.71 0.170902
3348.57 0.193207
3351.43 0.160722
3354.3 0.176285
3357.16 0.188905
3360.03 0.205919
3362.89 0.168779
3365.76 0.200009
3368.62 0.193925
3371.49 0.208746
3374.35 0.197438
3377.21 0.205227
3380.08 0.192369
3382.94 0.188727
3385.81 0.134831
3388.67 0.142508
3391.54 0.183234
3394.4 0.193064
3397.27 0.18932
3400.13 0.166297
3402.99 0.156739
3405.86 0.193946
3408.72 0.189509
3411.59 0.187008
3414.45 0.18083
3417.32 0.178246
3420.18 0.175644
3423.05 0.166342
3425.91 0.178315
3428.77 0.190371
3431.64 0.193116
3434.5 0.20425
3437.37 0.194384
3440.23 0.205206
3443.1 0.206292
3445.96 0.187093
3448.83 0.169645
3451.69 0.164753
3454.56 0.212478
3457.42 0.179065
3460.28 0.182652
3463.15 0.17785
3466.01 0.184245
3468.88 0.194795
3471.74 0.195615
3474.61 0.208836
3477.47 0.203738
3480.34 0.184791
3483.2 0.152757
3486.06 0.183859
3488.93 0.172931
3491.79 0.175086
3494.66 0.175261
3497.52 0.196738
3500.39 0.166909
3503.25 0.132418
3506.12 0.189507
3508.98 0.197268
3511.84 0.177387
3514.71 0.17221
3517.57 0.138939
3520.44 0.115326
3523.3 0.161357
3526.17 0.156578
3529.03 0.207092
3531.9 0.217069
3534.76 0.188725
3537.62 0.182108
3540.49 0.193558
3543.35 0.134978
3546.22 0.167638
3549.08 0.180586
3551.95 0.171743
3554.81 0.164296
3557.68 0.166244
3560.54 0.159798
3563.41 0.185171
3566.27 0.166262
3569.13 0.139899
3572 0.137042
3574.86 0.168446
3577.73 0.130036
3580.59 0.158406
3583.46 0.168796
3586.32 0.186088
3589.19 0.193593
3592.05 0.178353
3594.91 0.170584
3597.78 0.187774
3600.64 0.183135
3603.51 0.181315
3606.37 0.184003
3609.24 0.161924
3612.1 0.16392
3614.97 0.169208
3617.83 0.149406
3620.69 0.111632
3623.56 0.157058
3626.42 0.205566
3629.29 0.146847
3632.15 0.138614
3635.02 0.173227
3637.88 0.177967
3640.75 0.135836
3643.61 0.195565
3646.47 0.211914
3649.34 0.198313
3652.2 0.154055
3655.07 0.171081
3657.93 0.148136
3660.8 0.118237
3663.66 0.126119
3666.53 0.134647
3669.39 0.202862
3672.26 0.194082
3675.12 0.177177
3677.98 0.181252
3680.85 0.155729
3683.71 0.108319
3686.58 0.171591
3689.44 0.133602
3692.31 0.11251
3695.17 0.116885
3698.04 0.115414
3700.9 0.129952
3703.76 0.157617
3706.63 0.143595
3709.49 0.163257
3712.36 0.136699
3715.22 0.149774
3718.09 0.14122
3720.95 0.154935
3723.82 0.176259
3726.68 0.175998
3729.54 0.144358
3732.41 0.14337
3735.27 0.172612
3738.14 0.124073
3741 0.116113
3743.87 0.189262
3746.73 0.192182
3749.6 0.192507
3752.46 0.127014
3755.32 0.0993662
3758.19 0.157471
3761.05 0.135087
3763.92 0.144194
3766.78 0.123402
3769.65 0.100204
3772.51 0.0955966
3775.38 0.10244
3778.24 0.113788
3781.11 0.0991024
3783.97 0.121344
3786.83 0.107614
3789.7 0.0971436
3792.56 0.112359
3795.43 0.0920529
3798.29 0.148608
3801.16 0.175794
3804.02 0.157069
3806.89 0.113033
