scanname 扫描021
timestamp 1/1/1970 01:19
scancount 1
laserwavenum 850.5
measurementstate Unknown
scanmode Identification
snr 16.43 16.43 16.43
replacelist 0
peaks 8
3325.65 0.204952
3328.52 0.210008
3331.38 0.181187
3334.25 0.177473
3337.11 0.198592
3339.98 0.195101
3342.84 0.198634
3345.71 0.173718
3348.57 0.218259
3351.43 0.184128
3354.3 0.17967
3357.16 0.19663
3360.03 0.180119
3362.89 0.18211
3365.76 0.178535
3368.62 0.189317
3371.49 0.183903
3374.35 0.185324
3377.21 0.200048
3380.08 0.231791
3382.94 0.182422
3385.81 0.171188
3388.67 0.193791
3391.54 0.207773
3394.4 0.183959
3397.27 0.186343
3400.13 0.196667
3402.99 0.197748
3405.86 0.197743
3408.72 0.19355
3411.59 0.172102
3414.45 0.166637
3417.32 0.172712
3420.18 0.196706
3423.05 0.217796
3425.91 0.190738
3428.77 0.188833
3431.64 0.192926
3434.5 0.166568
3437.37 0.201687
3440.23 0.165548
3443.1 0.197022
3445.96 0.213995
3448.83 0.206184
3451.69 0.193681
3454.56 0.227698
3457.42 0.178203
3460.28 0.166232
3463.15 0.187649
3466.01 0.200816
3468.88 0.186948
3471.74 0.190478
3474.61 0.188609
3477.47 0.152864
3480.34 0.177413
3483.2 0.163298
3486.06 0.165068
3488.93 0.203271
3491.79 0.19528
3494.66 0.195109
3497.52 0.177771
3500.39 0.177734
3503.25 0.141764
3506.12 0.167066
3508.98 0.190634
3511.84 0.182402
3514.71 0.177224
3517.57 0.170226
3520.44 0.167218
3523.3 0.157055
3526.17 0.197541
3529.03 0.160864
3531.9 0.172511
3534.76 0.176059
3537.62 0.177026
3540.49 0.185459
3543.35 0.198114
3546.22 0.16566
3549.08 0.18677
3551.95 0.156816
3554.81 0.129902
3557.68 0.145475
3560.54 0.14845
3563.41 0.200085
3566.27 0.192016
3569.13 0.192366
3572 0.17838
3574.86 0.133538
3577.73 0.130163
3580.59 0.171091
3583.46 0.163387
3586.32 0.204942
3589.19 0.181596
3592.05 0.204892
3594.91 0.202173
3597.78 0.184951
3600.64 0.180981
3603.51 0.150132
3606.37 0.155338
3609.24 0.162152
3612.1 0.160398
3614.97 0.142302
3617.83 0.193816
3620.69 0.172976
3623.56 0.15919
3626.42 0.210018
3629.29 0.185524
3632.15 0.131394
3635.02 0.14065
3637.88 0.125667
3640.75 0.14464
3643.61 0.15835
3646.47 0.221016
3649.34 0.210519
3652.2 0.146202
3655.07 0.174731
3657.93 0.13788
3660.8 0.130792
3663.66 0.153798
3666.53 0.173666
3669.39 0.18054
3672.26 0.199237
3675.12 0.242538
3677.98 0.112318
3680.85 0.0947438
3683.71 0.125552
3686.58 0.156908
3689.44 0.131572
3692.31 0.098125
3695.17 0.140516
3698.04 0.115604
3700.9 0.13364
3703.76 0.0949536
3706.63 0.128647
3709.49 0.164349
3712.36 0.10804
3715.22 0.113736
3718.09 0.101936
3720.95 0.130599
3723.82 0.128389
3726.68 0.115272
3729.54 0.150038
3732.41 0.180307
3735.27 0.153163
3738.14 0.104648
3741 0.14689
3743.87 0.164101
3746.73 0.15204
3749.6 0.24599
3752.46 0.156353
3755.32 0.139869
3758.19 0.14545
3761.05 0.0836923
3763.92 0.139856
3766.78 0.114257
3769.65 0.0875823
3772.51 0.0789782
3775.38 0.104146
3778.24 0.142249
3781.11 0.126024
3783.97 0.125291
3786.83 0.0878044
3789.7 0.0899096
3792.56 0.0758837
3795.43 0.115371
3798.29 0.12158
3801.16 0.157946
3804.02 0.138756
3806.89 0.151189
3809.75 0.100789
3812.61 0.129441
3815.48 0.0951994
3818.34 0.154501
3821.21 0.139824
3824.07 0.0914313
3826.94 0.100069
3829.8 0.106081
3832.67 0.104526
3835.53 0.161757
3838.39 0.141106
3841.26 0.132171
3844.12 0.0924545
3846.99 0.110002
3849.85 0.134533
3852.72 0.191154
3855.58 0.105482
3858.45 0.103596
3861.31 0.116066
3864.17 0.108806
3867.04 0.107227
3869.9 0.0760428
3872.77 0.144313
3875.63 0.0991929
3878.5 0.128301
3881.36 0.102652
3884.23 0.138591
3887.09 0.076951
3889.96 0.0937597
3892.82 0.12262
3895.68 0.105677
3898.55 0.096737
3901.41 0.144828
3904.28 0.0967243
3907.14 0.0869972
3910.01 0.0768216
3912.87 0.0770964
3915.74 0.0962362
3918.6 0.0802841
3921.46 0.0494812
3924.33 0.0393729
3927.19 0.0778622
3930.06 0.0970221
3932.92 0.0938491
3935.79 0.0992721
3938.65 0.122051
